Year,Km,NOK
2012,135000,179034
2010,162500,119900
2010,139400,69729
2010,174000,88982
2010,145690,139000
2010,222500,95000
2010,196905,74729
2010,138563,159999
2010,211000,129000
2011,174000,159034
2011,133000,169000
2011,180000,149000
2011,187000,159000
2011,239000,194034
2011,185200,135000
2011,176000,134034
2011,206255,179900
2011,185000,199000
2011,198300,159000
2011,204000,160000
2011,195000,179034
2011,165000,159999
2011,216760,126034
2011,170023,149034
2011,198000,139900
2011,193000,118982
2011,235000,127034
2011,207000,119034
2011,196515,159034
2011,220500,124900
2011,174000,209990
2011,149000,179034
2011,165000,159034
2011,186000,123000
2011,185500,149900
2011,129500,199034
2011,176400,189000
2011,155800,154034
2011,219952,114034
2011,149000,169900
2011,198000,179900
2011,206000,158000
2011,178000,199999
2011,119600,199000
2011,209000,169999
2011,120585,229500
2011,192000,169900
2011,210100,179999
2011,114569,279000
2011,255000,154000
2011,220000,188500
2012,107900,229000
2012,106000,189000
2012,181000,199000
2012,83000,219034
2012,143500,249990
2012,178000,149900
2012,135000,179034
2012,226851,134034
2012,132000,168700
2012,300385,124034
2012,289000,94034
2012,231000,119000
2012,174000,189900
2012,157000,165000
2012,118863,174034
2012,127289,144034
2012,141200,189900
2012,200000,189034
2012,184102,189000
2012,161701,195000
2012,142434,199982
2012,179000,149034
